# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [MeV]   
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
16.15            7.4467143E-50    7.4467143E-50    7.4467143E-50    7.4467143E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.25            8.5106184E-50    8.5106184E-50    8.5106184E-50    8.5106184E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.35            9.6921894E-50    9.6921894E-50    9.6921894E-50    9.6921894E-50    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.45            1.1000716E-49    1.1000716E-49    1.1000716E-49    1.1000716E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.55            1.2445921E-49    1.2445921E-49    1.2445921E-49    1.2445921E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.65            1.4037969E-49    1.4037969E-49    1.4037969E-49    1.4037969E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.75            1.5787468E-49    1.5787468E-49    1.5787468E-49    1.5787468E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.85            1.7705475E-49    1.7705475E-49    1.7705475E-49    1.7705475E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
16.95            1.9803499E-49    1.9803499E-49    1.9803499E-49    1.9803499E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
17.05            2.2093505E-49    2.2093505E-49    2.2093505E-49    2.2093505E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
17.15            2.4587917E-49    2.4587917E-49    2.4587917E-49    2.4587917E-49    1.8134377E+00    1.8134377E+00    1.8134377E+00    1.8134377E+00    
