# 8, 1000
# Nu energy [MeV]X-Sec. [m^2]     Lep. <E> [m^2 MeV]
# Enu            nu_e             nu_e_bar         nu_x             nu_x_bar         nu_e             nu_e_bar         nu_x             nu_x_bar         
14.65            1.1877266E-46    5.0086406E-47    1.9749413E-47    1.7068877E-47    8.0776283E-46    2.0726356E-46    1.2358310E-46    1.0014813E-46    
14.75            1.1960103E-46    5.0433775E-47    1.9884531E-47    1.7185222E-47    8.1927582E-46    2.1024933E-46    1.2532396E-46    1.0155621E-46    
14.85            1.2042941E-46    5.0781147E-47    2.0019648E-47    1.7301568E-47    8.3087035E-46    2.1325648E-46    1.2707699E-46    1.0297411E-46    
14.95            1.2125780E-46    5.1128520E-47    2.0154765E-47    1.7417913E-47    8.4254641E-46    2.1628502E-46    1.2884220E-46    1.0440184E-46    
15.05            1.2208619E-46    5.1475895E-47    2.0289881E-47    1.7534257E-47    8.5430401E-46    2.1933494E-46    1.3061958E-46    1.0583940E-46    
15.15            1.2291458E-46    5.1823273E-47    2.0424998E-47    1.7650602E-47    8.6614314E-46    2.2240624E-46    1.3240913E-46    1.0728678E-46    
15.25            1.2374298E-46    5.2170652E-47    2.0560114E-47    1.7766946E-47    8.7806381E-46    2.2549893E-46    1.3421086E-46    1.0874398E-46    
15.35            1.2457139E-46    5.2518034E-47    2.0695230E-47    1.7883289E-47    8.9006601E-46    2.2861301E-46    1.3602475E-46    1.1021101E-46    
15.45            1.2539980E-46    5.2865417E-47    2.0830345E-47    1.7999632E-47    9.0214975E-46    2.3174846E-46    1.3785082E-46    1.1168787E-46    
15.55            1.2622821E-46    5.3212802E-47    2.0965461E-47    1.8115975E-47    9.1431503E-46    2.3490531E-46    1.3968907E-46    1.1317455E-46    
15.65            1.2705663E-46    5.3560190E-47    2.1100576E-47    1.8232318E-47    9.2656184E-46    2.3808353E-46    1.4153949E-46    1.1467106E-46    
15.75            1.2788505E-46    5.3907579E-47    2.1235690E-47    1.8348660E-47    9.3889018E-46    2.4128315E-46    1.4340208E-46    1.1617740E-46    
15.85            1.2871348E-46    5.4254969E-47    2.1370805E-47    1.8465002E-47    9.5130006E-46    2.4450414E-46    1.4527684E-46    1.1769356E-46    
15.95            1.2954191E-46    5.4602362E-47    2.1505919E-47    1.8581343E-47    9.6379148E-46    2.4774652E-46    1.4716378E-46    1.1921954E-46    
16.05            1.3037034E-46    5.4949756E-47    2.1641034E-47    1.8697684E-47    9.7636443E-46    2.5101029E-46    1.4906289E-46    1.2075535E-46    
16.15            1.3119878E-46    5.5297152E-47    2.1776148E-47    1.8814025E-47    9.8901892E-46    2.5429544E-46    1.5097417E-46    1.2230099E-46    
16.25            1.3202722E-46    5.5644550E-47    2.1911261E-47    1.8930366E-47    1.0017549E-45    2.5760197E-46    1.5289763E-46    1.2385645E-46    
16.35            1.3285567E-46    5.5991949E-47    2.2046375E-47    1.9046706E-47    1.0145725E-45    2.6092989E-46    1.5483325E-46    1.2542174E-46    
16.45            1.3368412E-46    5.6339350E-47    2.2181488E-47    1.9163046E-47    1.0274716E-45    2.6427920E-46    1.5678106E-46    1.2699686E-46    
16.55            1.3451257E-46    5.6686752E-47    2.2316601E-47    1.9279386E-47    1.0404522E-45    2.6764989E-46    1.5874103E-46    1.2858179E-46    
16.65            1.3534103E-46    5.7034156E-47    2.2451714E-47    1.9395725E-47    1.0535144E-45    2.7104196E-46    1.6071318E-46    1.3017656E-46    
16.75            1.3616949E-46    5.7381562E-47    2.2586827E-47    1.9512064E-47    1.0666581E-45    2.7445542E-46    1.6269750E-46    1.3178115E-46    
16.85            1.3699795E-46    5.7728969E-47    2.2721939E-47    1.9628403E-47    1.0798833E-45    2.7789026E-46    1.6469400E-46    1.3339557E-46    
16.95            1.3782642E-46    5.8076377E-47    2.2857051E-47    1.9744741E-47    1.0931901E-45    2.8134649E-46    1.6670266E-46    1.3501981E-46    
